scale,number_of_domes,matching_score,floor_area,material_coverage,objective
0.033333333,2.4,334.7106215,7.516086419,0.006252248,44.53256693
0.033333333,3.333333333,566.1772479,11.2740772,0.009378416,50.21938718
0.033333333,4.266666667,1167.968814,15.03206798,0.012504536,77.69847869
0.033333333,5.2,1993.406321,18.79011119,0.020483003,106.0880535
0.033333333,6.133333333,2973.518664,22.5481544,0.0323703,131.8741486
0.033333333,7.066666667,3956.939764,26.30619761,0.044257601,150.4185372
0.033333333,8.0,4945.906331,30.06418839,0.056144901,164.5115533
0.033333333,8.933333333,5943.505039,33.82217917,0.068490678,175.7280336
0.033333333,9.866666667,6952.882165,37.58022238,0.080995156,185.0143965
0.033333333,10.8,7964.352453,41.33826559,0.093499627,192.6629562
0.033333333,11.73333333,8976.359736,45.09630879,0.106004097,199.0486578
0.033333333,12.66666667,9991.735503,48.85429957,0.118508572,204.5211085
0.033333333,13.6,11012.37744,52.61229035,0.131013048,209.3118807
0.033333333,14.53333333,12062.32817,56.37033356,0.143517543,213.9836224
0.1,1.466666667,504.3651273,6.393640345,0.009581848,78.8854393
0.1,2.4,1011.88773,12.78728069,0.019163708,79.13236244
0.1,3.333333333,1530.99573,19.18092104,0.028745556,79.81867646
0.1,4.266666667,2055.228957,25.57456138,0.038327404,80.36223676
0.1,5.2,2582.537857,31.96820173,0.047909306,80.78458335
0.1,6.133333333,3238.766501,38.36184207,0.057491155,84.42677218
0.1,7.066666667,3983.697001,44.75548242,0.067073008,89.01025719
0.1,8.0,4736.753462,51.14912276,0.076654856,92.606739
0.1,8.933333333,5645.422785,57.54276311,0.091335181,98.10830207
0.1,9.866666667,6588.5243,63.93640345,0.107070349,103.0480907
0.1,10.8,7534.782466,70.3300438,0.122805546,107.1346193
0.1,11.73333333,8485.569624,76.72368414,0.13886274,110.5990897
0.1,12.66666667,9448.201888,83.11732449,0.155172939,113.6730753
0.1,13.6,10436.76667,89.51096483,0.171483094,116.5976335
0.1,14.53333333,11486.15658,95.90460518,0.187793275,119.7664758
0.166666667,1.466666667,543.2094451,9.725431747,0.014269597,55.85453266
0.166666667,2.4,1087.433002,19.45077915,0.028539214,55.90691222
0.166666667,3.333333333,1634.143459,29.17612655,0.042808815,56.00960963
0.166666667,4.266666667,2187.893673,38.90147396,0.057078417,56.24192224
0.166666667,5.2,2746.059842,48.62682136,0.071348008,56.4721231
0.166666667,6.133333333,3309.39558,58.35225311,0.085617606,56.71410106
0.166666667,7.066666667,3874.824358,68.07760051,0.099887275,56.91775752
0.166666667,8.0,4504.80466,77.80294792,0.114156881,57.90017963
0.166666667,8.933333333,5218.466142,87.52829532,0.128426485,59.62033332
0.166666667,9.866666667,5943.235603,97.25364272,0.142696076,61.11067345
0.166666667,10.8,6680.083519,106.9790745,0.156965674,62.44289878
